"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",257.471725268224,11.9940998178995,21.4665318095806,1.7066001997542e-98
"DemoCount",-0.0797475204645748,0.0289013868436462,-2.7592973616111,0.00581042186605714
"DeveloperCount",0.0646816256253185,0.0213823983982123,3.02499394224766,0.00249707487131867
"DLCCount",0.00337060593412213,0.000865990605478874,3.89219688157964,0.000100434121195629
"Metacritic",0.00693266882192606,0.000334191021304257,20.7446292089767,2.50512649148285e-92
"MovieCount",0.0434319894153019,0.00754168848113039,5.75892116519669,8.8916586749728e-09
"PackageCount",0.155293894591776,0.0139296650147123,11.1484299462878,1.40307394359011e-28
"PublisherCount",0.0556118716792934,0.0313048853052241,1.77645984443243,0.0757086041739307
"ScreenshotCount",0.00279927884782749,0.00145056076208144,1.92979082366101,0.0536805815762608
"AchievementCount",0.000547639488298999,0.000228635597895037,2.39525031684004,0.0166399667938409
"AchievementHighlightedCount",0.0163604662721037,0.00210253000249964,7.78132357333935,8.41505304708759e-15
"ControllerSupport",-0.0309779724222193,0.0218251004743638,-1.41937364543208,0.155842868951988
"IsFree",0.438483803253096,0.064124094435662,6.83805061283231,8.83613724619437e-12
"FreeVerAvail",0.321698553619241,0.177756556279258,1.80977039808224,0.0703821950021349
"PurchaseAvail",-0.141978221292532,0.0479199597945596,-2.96282012550126,0.00306049925266343
"SubscriptionAvail",-0.492334221110728,0.262465427590166,-1.87580598950158,0.0607311957741663
"PlatformLinux",0.120838704998705,0.0501409847835997,2.4099786934825,0.0159838208023349
"PlatformMac",0.19808517448452,0.0497362164760727,3.982714981543,6.89508614539243e-05
"PCReqsHaveMin",-0.280137771409228,0.1818377726409,-1.54059174472212,0.123469733700169
"PCReqsHaveRec",0.0959568085017202,0.0204642295560608,4.68900176470613,2.80712930857872e-06
"LinuxReqsHaveMin",-0.000291732782969584,0.0514908646576658,-0.00566571924765982,0.995479625561835
"LinuxReqsHaveRec",-0.170558574426477,0.0451783883223173,-3.77522485330057,0.0001614312598925
"MacReqsHaveMin",-0.107801665760603,0.0508019261948723,-2.12199957432882,0.0338792735758271
"MacReqsHaveRec",0.0108895191813026,0.0391666551699666,0.27803035858045,0.780998783482419
"CategorySinglePlayer",-0.122938810494856,0.045698278667283,-2.69022847424826,0.00716038952182209
"CategoryMultiplayer",0.0336221637887775,0.0235362219009244,1.42852850089151,0.153192660382499
"CategoryCoop",0.0827200342645164,0.0308818559203568,2.67859659982381,0.00741360894244968
"CategoryMMO",-0.191344065412694,0.0964114978607178,-1.98466022889844,0.047228468199029
"CategoryInAppPurchase",-0.071069651346134,0.0726130202235477,-0.978745287378735,0.327745924672373
"CategoryIncludeSrcSDK",0.179496954497198,0.181743136736047,0.987640896491671,0.323368995283293
"CategoryIncludeLevelEditor",0.0940916847186864,0.0384443504781328,2.44747754997723,0.0144149194223761
"CategoryVRSupport",0.079073779436142,0.0600325695221023,1.31718132449802,0.187828935147518
"GenreIsIndie",0.0649401256603139,0.0211099421871691,3.07628154944855,0.00210558594531345
"GenreIsAction",0.118967314938322,0.0186892208103225,6.36555778037648,2.09221606033347e-10
"GenreIsAdventure",0.03387265654326,0.0185915884339686,1.82193450890787,0.0685154594302917
"GenreIsCasual",-0.0483789547568114,0.0197088186408854,-2.45468567336911,0.0141294146796156
"GenreIsStrategy",0.0166637657182012,0.0213290817448886,0.781269719789722,0.434675180344782
"GenreIsRPG",0.143664164358059,0.022910077602342,6.27078471106416,3.84673802993317e-10
"GenreIsSimulation",0.131974489030819,0.0232628032569513,5.6731980051193,1.46806401187826e-08
"GenreIsEarlyAccess",-0.121552856358672,0.0303489231759746,-4.0051785578639,6.27311469122095e-05
"GenreIsFreeToPlay",0.630237280453124,0.0662440930889084,9.5138638188806,2.60889347591064e-21
"GenreIsSports",-0.128221971989417,0.0448670082851286,-2.85782308404807,0.0042804959667245
"GenreIsRacing",0.00875023055496668,0.0449262250914824,0.194768880250872,0.845580582691602
"GenreIsMassivelyMultiplayer",0.241551279993391,0.0904589751329142,2.67028539333407,0.00759943013897992
"PriceInitial",0.00388684810326721,0.00183920890380148,2.11332605841209,0.0346146849514155
"PriceFinal",0.00151250613772208,0.00213177488444084,0.709505562131062,0.47803880016752
"SupportEmail",0.0144749321268158,0.0238354706735218,0.607285349011197,0.543684898233408
"SupportURL",-0.0618073317445398,0.0181941270442957,-3.39710344959463,0.000685527811118089
"AboutText",0.517395148986187,0.366305165071889,1.41247025245916,0.157864216255794
"Background",-0.237600631285284,0.362591960846603,-0.65528378161093,0.512310574147792
"ShortDescrip",0.0778042970298019,0.0305768572910904,2.54454852207695,0.0109671384137124
"DetailedDescrip",-0.646051018973846,0.402906840287891,-1.60347493359066,0.108883293382683
"DRMNotice",-0.0114228352376022,0.0975998057578473,-0.117037479213259,0.906834331665874
"ExtUserAcctNotice",-0.193245797411779,0.075682984496581,-2.55335857454867,0.0106938613782886
"LegalNotice",-0.0477398028777526,0.0181098417130258,-2.63612480077144,0.00840781529731322
"SupportedLanguages",0.0262071756710768,0.00200030529793531,13.1015878916721,1.11138018285079e-38
"Recommendations",1.22728270024467e-07,3.15537458916548e-07,0.388949921970835,0.697327208609578
"Disapproval",3.3274611248831e-06,2.20815217670731e-06,1.50689846469044,0.131890150117543
"Day",-0.0012295101615388,0.00093231979291984,-1.3187644098901,0.187299001481653
"Month",-0.0192929911839568,0.00262014024218465,-7.36334295139503,2.03887494008029e-13
"Year",-0.12586664509766,0.00594573019087639,-21.1692493700437,6.21504042951792e-96
"AgeRating",-0.0200550869216473,0.0508661364488004,-0.394271873623306,0.693394557073499
"NoCategory",-0.191990950475467,0.140841306406507,-1.36317217848952,0.172880200080662
